Body 182: x = 458.630, y = 1720.226, z = 583.276, Fx = -0.001, Fy = -0.004, Fz = -0.001
Body 183: x = 1173.326, y = -365.107, z = -1283.095, Fx = -0.002, Fy = 0.000, Fz = 0.002
Body 184: x = -713.468, y = 383.793, z = -192.817, Fx = 0.000, Fy = -0.000, Fz = 0.001
Body 185: x = -1405.611, y = 1680.155, z = -1021.464, Fx = 0.002, Fy = -0.003, Fz = 0.001
Body 186: x = -1161.927, y = -586.395, z = 931.763, Fx = 0.000, Fy = 0.001, Fz = 0.000
Body 187: x = 878.889, y = 1667.300, z = -1400.777, Fx = -0.000, Fy = -0.001, Fz = 0.002
Body 188: x = -1500.339, y = -1792.882, z = -975.799, Fx = 0.001, Fy = 0.004, Fz = 0.001
Body 189: x = 1793.793, y = 1891.771, z = -393.331, Fx = -0.003, Fy = -0.004, Fz = 0.001
Body 190: x = -783.405, y = -950.621, z = 1401.252, Fx = -0.000, Fy = 0.001, Fz = -0.003
Body 191: x = 1549.854, y = -905.801, z = 872.791, Fx = -0.004, Fy = 0.000, Fz = 0.000
Body 192: x = -87.823, y = 186.728, z = -396.813, Fx = -0.001, Fy = -0.001, Fz = 0.003
Body 193: x = 1632.624, y = 626.914, z = 1978.724, Fx = -0.002, Fy = -0.000, Fz = -0.004
Body 194: x = 901.769, y = -1866.876, z = -1883.609, Fx = -0.001, Fy = 0.003, Fz = 0.003
Body 195: x = -1264.260, y = -764.893, z = 1394.111, Fx = -0.001, Fy = 0.001, Fz = -0.005
Body 196: x = 520.381, y = -751.725, z = 751.160, Fx = -0.001, Fy = 0.002, Fz = -0.000
Body 197: x = -439.562, y = -868.234, z = 593.904, Fx = 0.000, Fy = 0.003, Fz = 0.001
Body 198: x = -1269.510, y = 1264.136, z = 1267.794, Fx = 0.004, Fy = -0.001, Fz = -0.005
Body 199: x = -1571.934, y = -793.059, z = -1367.323, Fx = 0.004, Fy = 0.001, Fz = 0.001
Body 200: x = 1346.019, y = 504.444, z = 1659.632, Fx = -0.002, Fy = -0.001, Fz = -0.003
Body 201: x = 1985.641, y = -1535.972, z = -792.662, Fx = -0.004, Fy = 0.001, Fz = 0.001
Body 202: x = 678.751, y = -1166.542, z = 947.428, Fx = -0.002, Fy = 0.002, Fz = -0.001
Body 203: x = 1697.763, y = -2458.868, z = 1415.210, Fx = -0.001, Fy = 0.002, Fz = -0.001
Body 204: x = 791.921, y = -1447.026, z = 1005.731, Fx = -0.000, Fy = 0.003, Fz = -0.001
Body 205: x = 1220.652, y = -418.761, z = -274.365, Fx = -0.003, Fy = 0.000, Fz = 0.001
Body 206: x = 208.022, y = 260.056, z = 277.018, Fx = -0.002, Fy = -0.001, Fz = -0.001
Body 207: x = -1543.315, y = -1507.596, z = -556.126, Fx = 0.001, Fy = 0.002, Fz = 0.000
Body 208: x = 1704.092, y = 537.284, z = 1488.228, Fx = -0.007, Fy = 0.003, Fz = 0.000
Body 209: x = -426.033, y = -1127.946, z = 84.278, Fx = 0.000, Fy = 0.003, Fz = 0.000
Body 210: x = 515.529, y = 1363.965, z = 628.416, Fx = -0.001, Fy = -0.003, Fz = -0.000
Body 211: x = -535.153, y = -97.358, z = 1251.312, Fx = 0.000, Fy = 0.000, Fz = -0.003
Body 212: x = 987.888, y = -1689.567, z = 900.540, Fx = -0.001, Fy = 0.004, Fz = -0.000
Body 213: x = 1090.675, y = 1282.127, z = -1548.418, Fx = -0.001, Fy = -0.001, Fz = 0.003
Body 214: x = -1349.411, y = -456.560, z = 1329.226, Fx = 0.002, Fy = -0.001, Fz = -0.003
Body 215: x = -1604.393, y = -478.448, z = -1952.285, Fx = 0.003, Fy = -0.000, Fz = 0.004
Body 216: x = -1676.885, y = -1328.982, z = 500.887, Fx = 0.004, Fy = 0.002, Fz = 0.000
Body 217: x = -1699.707, y = 1188.951, z = 1313.246, Fx = 0.005, Fy = -0.002, Fz = -0.003
Body 218: x = 1681.018, y = 1402.726, z = -1760.019, Fx = -0.001, Fy = -0.001, Fz = 0.003
Body 219: x = -321.749, y = 1606.737, z = 1221.052, Fx = 0.000, Fy = -0.003, Fz = -0.002
Body 220: x = -384.954, y = 1489.466, z = -311.232, Fx = -0.000, Fy = -0.004, Fz = -0.000
Body 221: x = -125.816, y = -785.407, z = -969.093, Fx = -0.002, Fy = 0.001, Fz = 0.001
Body 222: x = -768.808, y = 766.709, z = 1285.955, Fx = 0.000, Fy = -0.001, Fz = -0.003
Body 223: x = -837.251, y = 1691.412, z = 1743.034, Fx = 0.001, Fy = -0.003, Fz = -0.004
Body 224: x = 979.694, y = 1041.643, z = -287.409, Fx = -0.002, Fy = -0.001, Fz = 0.001
Body 225: x = 1088.136, y = -712.124, z = -1544.957, Fx = -0.002, Fy = 0.000, Fz = 0.002
Body 226: x = 1798.672, y = 76.721, z = 484.616, Fx = -0.003, Fy = -0.000, Fz = 0.000
Body 227: x = 46.299, y = 901.995, z = 415.756, Fx = -0.001, Fy = -0.001, Fz = -0.001
Body 228: x = -1254.856, y = -1651.806, z = -894.917, Fx = 0.001, Fy = 0.003, Fz = 0.001
Body 229: x = -90.319, y = -534.089, z = 880.286, Fx = -0.000, Fy = -0.001, Fz = -0.002
Body 230: x = -35.879, y = 85.082, z = -463.455, Fx = -0.001, Fy = 0.000, Fz = 0.003
Body 231: x = 593.962, y = -347.734, z = -969.410, Fx = -0.001, Fy = 0.000, Fz = 0.002
Body 232: x = -1517.760, y = 229.530, z = -676.571, Fx = 0.004, Fy = 0.000, Fz = 0.001
